Unnamed: 0.1,Unnamed: 0,price,title,year,mileage,transmission,body_type,drive_type,color,engine_capacity,engine_power,fuel_type,travel_distance,price_scaled,year_scaled,mileage_scaled,engine_capacity_scaled,engine_power_scaled,travel_distance_scaled
156708,160001,1700000,Renault Arkana I,2019,28000,вариатор,внедорожник 5 дв.,полный,коричневый,1.3,150.0,Бензин,0,0.204969802899078,1.1427875725651808,-1.1178341405044292,-0.0368850094332338,0.1126278924727861,-0.0096796395548317
136924,139278,1520000,Hyundai i40 I Рестайлинг,2016,89000,механика,седан,передний,серый,2.0,150.0,Бензин,0,-0.2083742751873585,0.7937523334900305,-0.5073001648823292,-0.8359956414597183,-0.6347024808387826,-0.0096796395548317
8777,8817,900000,Volkswagen Transporter T4,1995,437073,механика,минивэн,передний,красный,2.5,110.0,Бензин,0,-0.7897009989980305,-1.7658394197277385,-1.083076239411819,-0.8359956414597183,-1.2531827897862875,-0.0096796395548317
112331,113860,735000,Ford Focus III,2013,107061,робот,хэтчбек 5 дв.,передний,красный,1.6,105.0,Бензин,0,0.1032875805438383,0.3283720147231634,-0.3307929634490738,-0.0368850094332338,-0.6089324679659698,-0.0096796395548317
171903,176172,2500000,Hyundai Tucson IV,2021,32505,робот,внедорожник 5 дв.,передний,чёрный,1.6,180.0,Бензин,0,-0.2547919983813665,1.3754777319486142,-1.3441180891814228,-1.6351062734862027,-1.2145277704770685,-0.0096796395548317
72917,73512,1300000,Land Rover Range Rover Sport Supercharged I,2007,226883,автомат,внедорожник 5 дв.,полный,красный,4.2,390.0,Бензин,0,-0.5244568664608418,-0.3696984634271371,2.752093402751196,-0.3032552201087288,-0.32546232636503,-0.0096796395548317
137840,140199,1180000,УАЗ Patriot I Рестайлинг 2,2016,100350,механика,внедорожник 5 дв.,полный,зелёный,2.7,135.0,Бензин,0,1.7389597311898355,0.7937523334900305,-1.011557924406448,1.028595833268745,0.9372683044027929,-0.0096796395548317
135731,138075,1270000,Hyundai Solaris I Рестайлинг,2016,114000,автомат,седан,передний,белый,1.6,123.0,Бензин,0,0.5011537793496215,0.7937523334900305,0.4992664800820123,0.3626703065800081,-0.2610372941829982,-0.0096796395548317
66718,67210,255000,Peugeot 307 I Рестайлинг,2006,366000,механика,хэтчбек 3 дв.,передний,серый,1.6,109.0,Бензин,0,0.2801170022352974,-0.3696984634271371,0.7058650125537775,2.360446886646219,0.9888083301484184,-0.0096796395548317
26942,27089,520000,Toyota Caldina II Рестайлинг,2000,400000,автомат,универсал 5 дв.,полный,белый,2.0,135.0,Бензин,0,-0.5598227507991336,-1.1841140212691543,0.8747376338602096,-0.5696254307842236,0.0997428860363797,-0.0096796395548317
118815,120556,826800,Ford Focus III,2014,189000,механика,хэтчбек 5 дв.,передний,чёрный,1.6,125.0,Бензин,0,0.1032875805438383,0.4447170944148802,-0.0907596187122976,1.028595833268745,0.8470732593479483,-0.0096796395548317
168146,172171,2730000,Mercedes-Benz GLA 250 II (H247),2021,68000,робот,внедорожник 5 дв.,полный,чёрный,2.0,224.0,Бензин,0,0.3817939197078865,1.2591326522568975,-1.4208393616034345,-0.0368850094332338,0.3832130276373195,-0.0096796395548317
152727,155691,1200000,Renault Kaptur I,2018,200000,механика,внедорожник 5 дв.,передний,голубой,1.6,114.0,Бензин,0,1.2968861769611877,1.026442492873464,-0.7701836112633214,-0.3032552201087288,0.8728432722207611,-0.0096796395548317
101178,102336,1157000,SsangYong Rexton II,2011,251800,механика,внедорожник 5 дв.,полный,чёрный,2.7,163.0,Дизель,0,-0.3166822959733772,0.2120269350314466,0.9551957382412518,-0.3032552201087288,-0.4027723649834681,-0.0096796395548317
140686,143167,3649700,Audi Q7 II (4M),2017,154480,автомат,внедорожник 5 дв.,полный,белый,3.0,249.0,Дизель,0,-0.4183592134459662,0.7937523334900305,-0.8072032790679764,-0.9691807467974658,-0.2996923134922172,-0.0096796395548317
