price,title,year,mileage,engine,transmission,body_type,drive_type,color
750 000 ₽,Daihatsu Altis II (SXV30),2002,270897км,2.4 л / 159 л.с. / Бензин,автомат,седан,передний,серый
2 100 000 ₽,"Mercedes-Benz E-Класс 220 CDI IV (W212, S212, C207) Рестайлинг",2015,195000км,2.1 л / 170 л.с. / Дизель,автомат,седан,задний,чёрный
219 000 ₽,Citroen Berlingo I Рестайлинг,2005,364000км,1.4 л / 75 л.с. / Бензин,механика,компактвэн,передний,серебристый
2 290 000 ₽,Belgee X50,2024,31632км,1.5 л / 150 л.с. / Бензин,робот,внедорожник 5 дв.,передний,чёрный
175 000 ₽,Lada (ВАЗ) 2109,2002,125000км,1.5 л / 72 л.с. / Бензин,механика,хэтчбек 5 дв.,передний,красный
1 770 000 ₽,Kia Rio X-Line IV,2020,19602км,1.6 л / 123 л.с. / Бензин,автомат,хэтчбек 5 дв.,передний,серый
819 900 ₽,Kia Rio III,2014,95000км,1.4 л / 107 л.с. / Бензин,автомат,седан,передний,синий
7 999 999 ₽,Audi e-tron Sportback 55 I,2021,20000км,408 л.с. / 300 кВт / Электро,Заряд на 358 км,внедорожник 5 дв.,полный,белый
2 150 000 ₽,Nissan Murano III (Z52),2016,170000км,3.5 л / 249 л.с. / Бензин,вариатор,внедорожник 5 дв.,полный,коричневый
1 190 000 ₽,Mitsubishi ASX I Рестайлинг,2013,130000км,1.8 л / 140 л.с. / Бензин,вариатор,внедорожник 5 дв.,передний,белый
1 229 000 ₽,Kia Sorento II,2012,163848км,2.4 л / 175 л.с. / Бензин,механика,внедорожник 5 дв.,полный,чёрный
500 000 ₽,Nissan Tiida Latio I,2004,209583км,1.5 л / 109 л.с. / Бензин,вариатор,седан,передний,золотистый
365 000 ₽,Skoda Octavia I (A4) Рестайлинг,2004,312000км,1.6 л / 75 л.с. / Бензин,механика,лифтбек,передний,бежевый
2 175 000 ₽,Kia Seltos I,2021,48036км,1.6 л / 123 л.с. / Бензин,автомат,внедорожник 5 дв.,передний,серый
769 000 ₽,Land Rover Freelander I Рестайлинг,2005,194000км,1.8 л / 117 л.с. / Бензин,механика,внедорожник 5 дв.,полный,чёрный
330 000 ₽,Chery Tiggo (T11) I,2007,129000км,2.4 л / 129 л.с. / Бензин,механика,внедорожник 5 дв.,передний,синий
530 000 ₽,Volvo S40 II Рестайлинг,2007,299000км,2.4 л / 140 л.с. / Бензин,автомат,седан,передний,серый
150 000 ₽,Toyota Mark II VI (X80),1994,282000км,2.0 л / 135 л.с. / Бензин,автомат,седан,задний,серый
2 033 000 ₽,Land Rover Range Rover Evoque 6-speed I,2011,130392км,2.2 л / 190 л.с. / Дизель,автомат,внедорожник 3 дв.,полный,белый
